"persoonuuid";"naam";"wikidata"
"b2876bf8-2746-11e3-9b23-3cd92befe4f8";"Hoornbeeck, Johannes";"http://www.wikidata.org/entity/Q983340"
"b28e00f8-2746-11e3-ad4a-3cd92befe4f8";"Dirk I, graaf van Holland";"http://www.wikidata.org/entity/Q983079"
"b2901c62-2746-11e3-aacb-3cd92befe4f8";"Mieris, Frans van";"http://www.wikidata.org/entity/Q959236"
"b282dc50-2746-11e3-b0d3-3cd92befe4f8";"Royen, David van";"http://www.wikidata.org/entity/Q938934"
"b28756f4-2746-11e3-bbd3-3cd92befe4f8";"Einstein, Albert";"http://www.wikidata.org/entity/Q937"
"b2895882-2746-11e3-b07e-3cd92befe4f8";"Meer, Frans van der";"http://www.wikidata.org/entity/Q9263351"
"b285e8fa-2746-11e3-ad49-3cd92befe4f8";"Bolland, G.J.P.J.";"http://www.wikidata.org/entity/Q924068"
"b2849658-2746-11e3-ab58-3cd92befe4f8";"Descartes, R.";"http://www.wikidata.org/entity/Q9191"
"b284b386-2746-11e3-9d2c-3cd92befe4f8";"Heinsius, D.";"http://www.wikidata.org/entity/Q918731"
"b286a7c2-2746-11e3-a5c9-3cd92befe4f8";"Brouchoven, Foy van";"http://www.wikidata.org/entity/Q91768456"
"b28a44c2-2746-11e3-9075-3cd92befe4f8";"Hoogeveen, Eva van";"http://www.wikidata.org/entity/Q91764299"
"b28f9ac6-2746-11e3-a758-3cd92befe4f8";"Hovens Gréve, Catharina Dr.";"http://www.wikidata.org/entity/Q91748905"
"b288b86e-2746-11e3-9ec3-3cd92befe4f8";"Plaet, Antonius van de";"http://www.wikidata.org/entity/Q91648397"
"b286e0f2-2746-11e3-89ce-3cd92befe4f8";"Struik, Rudi";"http://www.wikidata.org/entity/Q91585935"
"b28af78c-2746-11e3-a476-3cd92befe4f8";"Dozy, Ch.M.";"http://www.wikidata.org/entity/Q91241073"
"b2866992-2746-11e3-a400-3cd92befe4f8";"Krantz, B.F.";"http://www.wikidata.org/entity/Q91238121"
"b2860f88-2746-11e3-811d-3cd92befe4f8";"Driessen, F.H.A.";"http://www.wikidata.org/entity/Q91015414"
"b2830fe0-2746-11e3-8b48-3cd92befe4f8";"Leembruggen, C.";"http://www.wikidata.org/entity/Q91013140"
"b28d6dd2-2746-11e3-8a3c-3cd92befe4f8";"Aquanus, Cornelius";"http://www.wikidata.org/entity/Q91013100"
"b290dc6a-2746-11e3-b442-3cd92befe4f8";"Hartevelt, Jacobus";"http://www.wikidata.org/entity/Q90919714"
"b28227ba-2746-11e3-a57e-3cd92befe4f8";"Wilde, Han de";"http://www.wikidata.org/entity/Q90914254"
"b2896944-2746-11e3-b7a6-3cd92befe4f8";"Steversloot, Laurentius";"http://www.wikidata.org/entity/Q90104860"
"b283f75c-2746-11e3-9ef1-3cd92befe4f8";"Was, F.";"http://www.wikidata.org/entity/Q90046607"
"b285b010-2746-11e3-8989-3cd92befe4f8";"Walenkamp, J.L.I.M.V. mr.";"http://www.wikidata.org/entity/Q90043457"
"b2886ba2-2746-11e3-806e-3cd92befe4f8";"Kret, W.J.";"http://www.wikidata.org/entity/Q90008607"
"b28f2f8c-2746-11e3-96bf-3cd92befe4f8";"Kret, J.";"http://www.wikidata.org/entity/Q90008607"
"b28bdf6c-2746-11e3-90ef-3cd92befe4f8";"Rij, van Tjeerd";"http://www.wikidata.org/entity/Q89232852"
