Naamvariant,Wikidata-item
Marendorpse Achtergracht,http://www.wikidata.org/entity/Q19620000
Marendorpsche Achtergracht,http://www.wikidata.org/entity/Q19620000
Hooglandse Achtergracht,http://www.wikidata.org/entity/Q19620000
Achtergracht,http://www.wikidata.org/entity/Q19620000
St. Pieters Achtergracht,http://www.wikidata.org/entity/Q96142068
Sint Pieters Achtergracht,http://www.wikidata.org/entity/Q96142068
Achtergracht,http://www.wikidata.org/entity/Q96142068
Lange Groenesteeg,http://www.wikidata.org/entity/Q96142549
Voorste Groenesteeg,http://www.wikidata.org/entity/Q96142549
Corte Groenesteeg,http://www.wikidata.org/entity/Q96142635
Korte Groenesteeg,http://www.wikidata.org/entity/Q96142635
Middelste Groenesteeg,http://www.wikidata.org/entity/Q96142635
Groeneveststeeg,http://www.wikidata.org/entity/Q96142636
Voorste Groenesteeg,http://www.wikidata.org/entity/Q96142638
Middelste Groenesteeg,http://www.wikidata.org/entity/Q96142639
Achterste Groenesteeg,http://www.wikidata.org/entity/Q96142640
Achterzandstraat,http://www.wikidata.org/entity/Q96146311
Korte Zandstraat,http://www.wikidata.org/entity/Q96146311
Achterste Zandstraat,http://www.wikidata.org/entity/Q96146311
Voorste Zandstraat,http://www.wikidata.org/entity/Q18951473
Lange Zandstraat,http://www.wikidata.org/entity/Q18951473
Ajaxlaan,http://www.wikidata.org/entity/Q19352370
St. Annasteeg,http://www.wikidata.org/entity/Q19346889
Sannensteeg,http://www.wikidata.org/entity/Q19346889
Armstraat,http://www.wikidata.org/entity/Q19352847
Bachovensteeg,http://www.wikidata.org/entity/Q18941210
Backovensteeg,http://www.wikidata.org/entity/Q18941210
Boekhovensteeg,http://www.wikidata.org/entity/Q18941210
Bakkersteeg,http://www.wikidata.org/entity/Q19409804
Bokkenstraatje,http://www.wikidata.org/entity/Q19335449
Bolwerkstraat,http://www.wikidata.org/entity/Q19375206
Bolwerkstraat,http://www.wikidata.org/entity/Q19058199
Bolwerkstraat in de Kraaierstraat,http://www.wikidata.org/entity/Q19058199
Dwarsbolwerkstraat,http://www.wikidata.org/entity/Q19058199
Korte Spilsteeg,http://www.wikidata.org/entity/Q19058199
Borresteeg,http://www.wikidata.org/entity/Q19284082
Bornsteeg,http://www.wikidata.org/entity/Q19284082
Botersteeg,http://www.wikidata.org/entity/Q19350837
Boudijn Louwenzoonsteeg,http://www.wikidata.org/entity/Q18964566
Brandewijnsteeg,http://www.wikidata.org/entity/Q19643145
Broertjesgracht,http://www.wikidata.org/entity/Q2533081
Bruggeplein,http://www.wikidata.org/entity/Q19207319
Brugstraat,http://www.wikidata.org/entity/Q19352062
Cellebroersgracht,http://www.wikidata.org/entity/Q2533081
Derde Kooistraat,http://www.wikidata.org/entity/Q18953891
3e Kooistraat,http://www.wikidata.org/entity/Q18953891
Bilitonstraat,http://www.wikidata.org/entity/Q18953891
Voldersgracht,http://www.wikidata.org/entity/Q5215803
Vollers gracht,http://www.wikidata.org/entity/Q5215803
Voldersgracht,http://www.wikidata.org/entity/Q19637850
Donkere gracht,http://www.wikidata.org/entity/Q19637850
Donkere gracht,http://www.wikidata.org/entity/Q32906995
Driehoepelsteeg,http://www.wikidata.org/entity/Q19408575
Drie swarte Varkensteeg,http://www.wikidata.org/entity/Q19464366
Kercsteech,http://www.wikidata.org/entity/Q19395577
Kerksteeg,http://www.wikidata.org/entity/Q19395577
Waardkerksteeg,http://www.wikidata.org/entity/Q19395577
